congress,chamber,bioguide,last_name,state,district,party,votes,agree_pct,predicted_agree,net_trump_vote
116,house,B001292,Beyer,VA,8,D,87,0.057471264,0.05267914,-52.6
117,house,B001292,Beyer,VA,8,D,3,0,3.45E-05,-52.6
0,house,B001293,Bishop,MI,8,Republican,95,0.978947368,0.81057761,6.7
115,house,B001293,Bishop,MI,8,R,95,0.978947368,0.81057761,6.7
0,house,B001294,Blum,IA,1,Republican,93,0.924731183,0.76057766,3.5
115,house,B001294,Blum,IA,1,R,93,0.924731183,0.76057766,3.5
0,house,B001295,Bost,IL,12,Republican,187,0.935828877,0.83509579,14.8
115,house,B001295,Bost,IL,12,R,95,0.989473684,0.89727638,14.8
116,house,B001295,Bost,IL,12,R,89,0.876404494,0.77858386,14.8
117,house,B001295,Bost,IL,12,R,3,1,0.54256398,14.8
0,house,B001296,Boyle,PA,2,Democrat,186,0.139784946,0.14623348,-48
115,house,B001296,Boyle,PA,13,D,94,0.20212766,0.22863067,-33.6
116,house,B001296,Boyle,PA,2,D,89,0.078651685,0.06413335,-48
117,house,B001296,Boyle,PA,2,D,3,0,9.20E-05,-48
0,house,B001297,Buck,CO,4,Republican,182,0.868131868,0.91138385,23.1
115,house,B001297,Buck,CO,4,R,94,0.85106383,0.93541675,23.1
116,house,B001297,Buck,CO,4,R,86,0.895348837,0.88911615,23.1
117,house,B001297,Buck,CO,4,R,2,0.5,0.7393483,23.1
0,house,B001298,Bacon,NE,2,Republican,188,0.893617021,0.53514829,2.2
115,house,B001298,Bacon,NE,2,R,96,0.979166667,0.73689927,2.2
116,house,B001298,Bacon,NE,2,R,89,0.820224719,0.32687275,2.2
117,house,B001298,Bacon,NE,2,R,3,0.333333333,0.25795776,2.2
0,house,B001299,Banks,IN,3,Republican,188,0.925531915,0.93812419,35
115,house,B001299,Banks,IN,3,R,96,0.947916667,0.94963284,35
116,house,B001299,Banks,IN,3,R,89,0.898876404,0.92817238,35
117,house,B001299,Banks,IN,3,R,3,1,0.8650845,35
0,house,B001300,Barragán,CA,44,Democrat,186,0.11827957,0.10442145,-70.7
115,house,B001300,Barragán,CA,44,D,94,0.170212766,0.15122911,-70.7
116,house,B001300,Barragán,CA,44,D,89,0.06741573,0.05850395,-70.7
117,house,B001300,Barragán,CA,44,D,3,0,4.60E-07,-70.7
0,house,B001301,Bergman,MI,1,Republican,185,0.956756757,0.90157681,21.3
115,house,B001301,Bergman,MI,1,R,95,0.968421053,0.92923049,21.3
116,house,B001301,Bergman,MI,1,R,87,0.942528736,0.87927935,21.3
117,house,B001301,Bergman,MI,1,R,3,1,0.67250317,21.3
0,house,B001302,Biggs,AZ,5,Republican,187,0.828877005,0.89968591,21.1
115,house,B001302,Biggs,AZ,5,R,96,0.729166667,0.92917335,21.1
116,house,B001302,Biggs,AZ,5,R,88,0.931818182,0.8753865,21.1
117,house,B001302,Biggs,AZ,5,R,3,1,0.66887066,21.1
0,house,B001303,Blunt Rochester,DE,0,Democrat,183,0.169398907,0.27847302,-11.43051247
115,house,B001303,Blunt Rochester,DE,0,D,92,0.27173913,0.44921655,-11.43051247
116,house,B001303,Blunt Rochester,DE,0,D,88,0.068181818,0.10747941,-11.43051247
117,house,B001303,Blunt Rochester,DE,0,D,3,0,0.0581508,-11.43051247
0,house,B001304,Brown,MD,4,Democrat,184,0.119565217,0.10959196,-57.5
115,house,B001304,Brown,MD,4,D,92,0.195652174,0.15979619,-57.5
116,house,B001304,Brown,MD,4,D,89,0.04494382,0.06138917,-57.5
117,house,B001304,Brown,MD,4,D,3,0,1.15E-05,-57.5
0,house,B001305,Budd,NC,13,Republican,184,0.918478261,0.73670897,9.4
115,house,B001305,Budd,NC,13,R,95,0.894736842,0.85624197,9.4
116,house,B001305,Budd,NC,13,R,86,0.941860465,0.6157056,9.4
117,house,B001305,Budd,NC,13,R,3,1,0.42026041,9.4
0,house,B001306,Balderson,OH,12,Republican,98,0.887755102,0.68543883,11.3
115,house,B001306,Balderson,OH,12,R,6,1,0.91223178,11.3
116,house,B001306,Balderson,OH,12,R,89,0.898876404,0.677608,11.3
117,house,B001306,Balderson,OH,12,R,3,0.333333333,0.46416737,11.3
0,house,B001307,Baird,IN,4,Republican,92,0.945652174,0.92475573,34.1
116,house,B001307,Baird,IN,4,R,89,0.943820225,0.92708437,34.1
117,house,B001307,Baird,IN,4,R,3,1,0.85567265,34.1
0,house,B001308,Brindisi,NY,22,Democrat,89,0.123595506,0.79435587,15.5
116,house,B001308,Brindisi,NY,22,D,89,0.123595506,0.79435587,15.5
0,house,B001309,Burchett,TN,2,Republican,91,0.945054945,0.92587084,35.4
116,house,B001309,Burchett,TN,2,R,88,0.943181818,0.92780517,35.4
117,house,B001309,Burchett,TN,2,R,3,1,0.86913049,35.4
0,house,B001311,Bishop,NC,9,Republican,44,0.931818182,0.68134149,11.6
116,house,B001311,Bishop,NC,9,R,41,0.926829268,0.69672937,11.6
117,house,B001311,Bishop,NC,9,R,3,1,0.47104039,11.6
0,house,B001312,Bourdeaux,GA,7,Democrat,3,0,0.34849884,6.3
117,house,B001312,Bourdeaux,GA,7,D,3,0,0.34849884,6.3
0,house,C000059,Calvert,CA,42,Republican,187,0.967914439,0.78934355,12
115,house,C000059,Calvert,CA,42,R,96,0.989583333,0.87482029,12
116,house,C000059,Calvert,CA,42,R,88,0.943181818,0.70663624,12
117,house,C000059,Calvert,CA,42,R,3,1,0.48016902,12
0,house,C000266,Chabot,OH,1,Republican,188,0.930851064,0.65432828,6.6
115,house,C000266,Chabot,OH,1,R,96,0.947916667,0.81042926,6.6
116,house,C000266,Chabot,OH,1,R,89,0.921348315,0.49602646,6.6
117,house,C000266,Chabot,OH,1,R,3,0.666666667,0.3553842,6.6
0,house,C000537,Clyburn,SC,6,Democrat,171,0.134502924,0.14801153,-36.5
115,house,C000537,Clyburn,SC,6,D,88,0.193181818,0.21914168,-36.5
116,house,C000537,Clyburn,SC,6,D,80,0.075,0.07528585,-36.5
117,house,C000537,Clyburn,SC,6,D,3,0,8.79E-04,-36.5
0,house,C000714,Conyers,MI,13,Democrat,53,0.132075472,0.13287585,-60.7
115,house,C000714,Conyers,MI,13,D,53,0.132075472,0.13287585,-60.7
0,house,C000754,Cooper,TN,5,Democrat,186,0.225806452,0.21604281,-18.4
115,house,C000754,Cooper,TN,5,D,95,0.389473684,0.34232517,-18.4
116,house,C000754,Cooper,TN,5,D,88,0.056818182,0.08637624,-18.4
117,house,C000754,Cooper,TN,5,D,3,0,0.02065406,-18.4
0,house,C000984,Cummings,MD,7,Democrat,111,0.117117117,0.11001698,-55.6
115,house,C000984,Cummings,MD,7,D,69,0.15942029,0.15920039,-55.6
116,house,C000984,Cummings,MD,7,D,42,0.047619048,0.02921566,-55.6
0,house,C001037,Capuano,MA,7,Democrat,91,0.153846154,0.14345325,-72.2
115,house,C001037,Capuano,MA,7,D,91,0.153846154,0.14345325,-72.2
0,house,C001038,Crowley,NY,14,Democrat,88,0.170454545,0.15617876,-57.9
115,house,C001038,Crowley,NY,14,D,88,0.170454545,0.15617876,-57.9
0,house,C001039,Cammack,FL,3,Republican,3,1,0.56828549,16
117,house,C001039,Cammack,FL,3,R,3,1,0.56828549,16
0,house,C001048,Culberson,TX,7,Republican,95,0.978947368,0.66478893,-1.4
115,house,C001048,Culberson,TX,7,R,95,0.978947368,0.66478893,-1.4
0,house,C001049,Clay,MO,1,Democrat,180,0.105555556,0.1178386,-58.2
115,house,C001049,Clay,MO,1,D,94,0.159574468,0.16769266,-58.2
116,house,C001049,Clay,MO,1,D,86,0.046511628,0.06334696,-58.2
0,house,C001051,Carter,TX,31,Republican,171,0.970760234,0.80971906,12.7
115,house,C001051,Carter,TX,31,R,94,0.968085106,0.88017032,12.7
116,house,C001051,Carter,TX,31,R,74,0.972972973,0.73294392,12.7
117,house,C001051,Carter,TX,31,R,3,1,0.49603311,12.7
0,house,C001053,Cole,OK,4,Republican,186,0.956989247,0.93935449,37.4
115,house,C001053,Cole,OK,4,R,94,0.989361702,0.94935012,37.4
116,house,C001053,Cole,OK,4,R,89,0.921348315,0.9305244,37.4
117,house,C001053,Cole,OK,4,R,3,1,0.88811777,37.4
0,house,C001054,Carl,AL,1,Republican,3,1,0.79938123,29.4
117,house,C001054,Carl,AL,1,R,3,1,0.79938123,29.4
0,house,C001055,Case,HI,1,Democrat,92,0.076086957,0.06851872,-32.6
116,house,C001055,Case,HI,1,D,89,0.078651685,0.0707677,-32.6
117,house,C001055,Case,HI,1,D,3,0,0.00179922,-32.6
0,house,C001059,Costa,CA,16,Democrat,181,0.26519337,0.18585445,-21.6
115,house,C001059,Costa,CA,16,D,89,0.471910112,0.29707729,-21.6
116,house,C001059,Costa,CA,16,D,89,0.06741573,0.08048278,-21.6
117,house,C001059,Costa,CA,16,D,3,0,0.01226999,-21.6
0,house,C001061,Cleaver,MO,5,Democrat,178,0.129213483,0.26071234,-13.5
115,house,C001061,Cleaver,MO,5,D,90,0.188888889,0.42143829,-13.5
116,house,C001061,Cleaver,MO,5,D,85,0.070588235,0.09819903,-13.5
117,house,C001061,Cleaver,MO,5,D,3,0,0.04347742,-13.5
0,house,C001062,Conaway,TX,11,Republican,185,0.956756757,0.94295886,58.7
115,house,C001062,Conaway,TX,11,R,96,0.989583333,0.94801977,58.7
116,house,C001062,Conaway,TX,11,R,89,0.921348315,0.93749989,58.7
0,house,C001063,Cuellar,TX,28,Democrat,187,0.406417112,0.2077833,-19.8
115,house,C001063,Cuellar,TX,28,D,96,0.6875,0.32872556,-19.8
116,house,C001063,Cuellar,TX,28,D,88,0.113636364,0.08236754,-19.8
117,house,C001063,Cuellar,TX,28,D,3,0,0.01649343,-19.8
0,house,C001066,Castor,FL,14,Democrat,186,0.14516129,0.21726491,-18.2
115,house,C001066,Castor,FL,14,D,94,0.223404255,0.34788598,-18.2
116,house,C001066,Castor,FL,14,D,89,0.06741573,0.08591045,-18.2
117,house,C001066,Castor,FL,14,D,3,0,0.02132005,-18.2
0,house,C001067,Clarke,NY,9,Democrat,187,0.096256684,0.10492977,-69.1
115,house,C001067,Clarke,NY,9,D,95,0.105263158,0.15145378,-69.1
116,house,C001067,Clarke,NY,9,D,89,0.08988764,0.05880624,-69.1
117,house,C001067,Clarke,NY,9,D,3,0,6.90E-07,-69.1
0,house,C001068,Cohen,TN,9,Democrat,186,0.11827957,0.11445575,-57.7
115,house,C001068,Cohen,TN,9,D,95,0.178947368,0.16662781,-57.7
116,house,C001068,Cohen,TN,9,D,88,0.056818182,0.06203517,-57.7
117,house,C001068,Cohen,TN,9,D,3,0,1.10E-05,-57.7
0,house,C001069,Courtney,CT,2,Democrat,186,0.166666667,0.41333014,-2.9
115,house,C001069,Courtney,CT,2,D,94,0.265957447,0.62987701,-2.9
116,house,C001069,Courtney,CT,2,D,89,0.06741573,0.19310176,-2.9
117,house,C001069,Courtney,CT,2,D,3,0,0.16163682,-2.9
0,house,C001072,Carson,IN,7,Democrat,181,0.121546961,0.18472831,-22.8
115,house,C001072,Carson,IN,7,D,89,0.179775281,0.29638105,-22.8
116,house,C001072,Carson,IN,7,D,89,0.06741573,0.07896403,-22.8
117,house,C001072,Carson,IN,7,D,3,0,0.01003737,-22.8
0,house,C001076,Chaffetz,UT,3,Republican,31,1,0.98637674,23.9
115,house,C001076,Chaffetz,UT,3,R,31,1,0.98637674,23.9
0,house,C001077,Coffman,CO,6,Republican,96,0.947916667,0.50597163,-8.9
115,house,C001077,Coffman,CO,6,R,96,0.947916667,0.50597163,-8.9
0,house,C001078,Connolly,VA,11,Democrat,187,0.165775401,0.13653087,-39.4
115,house,C001078,Connolly,VA,11,D,95,0.263157895,0.2056424,-39.4
116,house,C001078,Connolly,VA,11,D,89,0.06741573,0.06734516,-39.4
117,house,C001078,Connolly,VA,11,D,3,0,5.09E-04,-39.4
0,house,C001080,Chu,CA,27,Democrat,186,0.112903226,0.14058658,-37.6
115,house,C001080,Chu,CA,27,D,95,0.147368421,0.21138455,-37.6
116,house,C001080,Chu,CA,27,D,88,0.079545455,0.0689253,-37.6
117,house,C001080,Chu,CA,27,D,3,0,7.15E-04,-37.6
0,house,C001084,Cicilline,RI,1,Democrat,186,0.139784946,0.17504184,-25.6
115,house,C001084,Cicilline,RI,1,D,95,0.210526316,0.27136301,-25.6
116,house,C001084,Cicilline,RI,1,D,88,0.068181818,0.07681398,-25.6
117,house,C001084,Cicilline,RI,1,D,3,0,0.00622218,-25.6
0,house,C001087,Crawford,AR,1,Republican,178,0.95505618,0.93532265,34.8
115,house,C001087,Crawford,AR,1,R,95,0.978947368,0.94910508,34.8
116,house,C001087,Crawford,AR,1,R,80,0.925,0.921667,34.8
117,house,C001087,Crawford,AR,1,R,3,1,0.86302999,34.8
0,house,C001090,Cartwright,PA,8,Democrat,182,0.192307692,0.73843939,9.6
115,house,C001090,Cartwright,PA,17,D,95,0.305263158,0.85512427,10.1
116,house,C001090,Cartwright,PA,8,D,84,0.071428571,0.61767207,9.6
117,house,C001090,Cartwright,PA,8,D,3,0,0.42490297,9.6
0,house,C001091,Castro,TX,20,Democrat,185,0.135135135,0.16522445,-26.7
115,house,C001091,Castro,TX,20,D,94,0.191489362,0.25401441,-26.7
116,house,C001091,Castro,TX,20,D,88,0.079545455,0.07583805,-26.7
117,house,C001091,Castro,TX,20,D,3,0,0.0051402,-26.7
0,house,C001092,Collins,NY,27,Republican,140,0.992857143,0.93363068,24.5
115,house,C001092,Collins,NY,27,R,94,0.989361702,0.93721435,24.5
116,house,C001092,Collins,NY,27,R,46,1,0.92630753,24.5
0,house,C001093,Collins,GA,9,Republican,174,0.977011494,0.95416802,58.5
115,house,C001093,Collins,GA,9,R,93,0.978494624,0.94814092,58.5
116,house,C001093,Collins,GA,9,R,81,0.975308642,0.96108803,58.5
0,house,C001094,Cook,CA,8,Republican,178,0.943820225,0.85580502,15.1
115,house,C001094,Cook,CA,8,R,96,0.979166667,0.89971389,15.1
116,house,C001094,Cook,CA,8,R,82,0.902439024,0.8043995,15.1
115,house,C001096,Cramer,ND,0,R,91,0.989010989,0.95118014,35.72888837
0,house,C001097,Cárdenas,CA,29,Democrat,182,0.115384615,0.11329991,-60.9
115,house,C001097,Cárdenas,CA,29,D,92,0.184782609,0.16555638,-60.9
116,house,C001097,Cárdenas,CA,29,D,87,0.045977011,0.0619469,-60.9
117,house,C001097,Cárdenas,CA,29,D,3,0,5.21E-06,-60.9
0,house,C001101,Clark,MA,5,Democrat,181,0.116022099,0.13413763,-43.6
115,house,C001101,Clark,MA,5,D,90,0.166666667,0.20482679,-43.6
116,house,C001101,Clark,MA,5,D,88,0.068181818,0.06640713,-43.6
117,house,C001101,Clark,MA,5,D,3,0,2.25E-04,-43.6
0,house,C001103,Carter,GA,1,Republican,182,0.950549451,0.84257618,15.5
115,house,C001103,Carter,GA,1,R,90,0.966666667,0.89975815,15.5
116,house,C001103,Carter,GA,1,R,89,0.93258427,0.79435587,15.5
117,house,C001103,Carter,GA,1,R,3,1,0.55765298,15.5
0,house,C001104,Cawthorn,NC,11,Republican,3,1,0.79671285,29.2
117,house,C001104,Cawthorn,NC,11,R,3,1,0.79671285,29.2
0,house,C001105,Comstock,VA,10,Republican,93,0.978494624,0.47725594,-10
115,house,C001105,Comstock,VA,10,R,93,0.978494624,0.47725594,-10
0,house,C001106,Costello,PA,6,Republican,92,0.956521739,0.69185928,-0.6
115,house,C001106,Costello,PA,6,R,92,0.956521739,0.69185928,-0.6
0,house,C001107,Curbelo,FL,26,Republican,91,0.824175824,0.37158865,-16.3
115,house,C001107,Curbelo,FL,26,R,91,0.824175824,0.37158865,-16.3
0,house,C001108,Comer,KY,1,Republican,188,0.941489362,0.94354204,48.5
115,house,C001108,Comer,KY,1,R,96,0.927083333,0.95021452,48.5
116,house,C001108,Comer,KY,1,R,89,0.97752809,0.93580594,48.5
117,house,C001108,Comer,KY,1,R,3,0.333333333,0.959527,48.5
0,house,C001109,Cheney,WY,0,Republican,182,0.928571429,0.94175438,46.29527573
115,house,C001109,Cheney,WY,0,R,96,0.958333333,0.9505216,46.29527573
116,house,C001109,Cheney,WY,0,R,83,0.927710843,0.93133623,46.29527573
117,house,C001109,Cheney,WY,0,R,3,0,0.94943879,46.29527573
0,house,C001110,Correa,CA,46,Democrat,188,0.223404255,0.13841049,-38.4
115,house,C001110,Correa,CA,46,D,96,0.375,0.2081919,-38.4
116,house,C001110,Correa,CA,46,D,89,0.06741573,0.06778543,-38.4
117,house,C001110,Correa,CA,46,D,3,0,6.15E-04,-38.4
0,house,C001111,Crist,FL,13,Democrat,185,0.243243243,0.40776868,-3.2
115,house,C001111,Crist,FL,13,D,93,0.419354839,0.62652837,-3.2
